Starting Ecommerce Simulator. Producing to topic: ecommerce_events
Sent: checkout - User: user_5817 - $172.19
Sent: add_to_cart - User: user_8802 - $194.09
Sent: add_to_cart - User: user_3850 - $291.08
Sent: checkout - User: user_9082 - $49.53
Sent: checkout - User: user_6237 - $132.19
Sent: checkout - User: user_7741 - $445.16
Sent: add_to_cart - User: user_3347 - $243.69
Sent: add_to_cart - User: user_9425 - $348.84
Sent: add_to_cart - User: user_7830 - $147.98
Sent: checkout - User: user_9380 - $320.85
Sent: add_to_cart - User: user_7453 - $76.9
Sent: checkout - User: user_5919 - $437.85
Sent: add_to_cart - User: user_4908 - $67.18
Sent: add_to_cart - User: user_3028 - $332.33
Sent: add_to_cart - User: user_1096 - $267.07
Sent: add_to_cart - User: user_8070 - $450.99
Sent: add_to_cart - User: user_2038 - $172.07
Sent: add_to_cart - User: user_9217 - $216.87
Sent: add_to_cart - User: user_4937 - $22.75
Sent: checkout - User: user_6118 - $283.28
Sent: checkout - User: user_9700 - $117.06
Sent: add_to_cart - User: user_7417 - $138.11
Sent: add_to_cart - User: user_6040 - $112.44
Sent: checkout - User: user_2853 - $265.08
Sent: checkout - User: user_1620 - $27.29
Sent: add_to_cart - User: user_5870 - $148.23
Sent: add_to_cart - User: user_1356 - $300.21
Sent: add_to_cart - User: user_5452 - $59.39
Sent: add_to_cart - User: user_9538 - $429.04
Sent: checkout - User: user_5522 - $484.65
Sent: add_to_cart - User: user_6614 - $44.3
Sent: checkout - User: user_7954 - $400.66
Sent: checkout - User: user_3703 - $301.96
Sent: checkout - User: user_7342 - $80.42
Sent: checkout - User: user_3706 - $437.33
Sent: add_to_cart - User: user_8289 - $198.75
Sent: checkout - User: user_2829 - $197.47
Sent: add_to_cart - User: user_5530 - $346.68
Sent: add_to_cart - User: user_1745 - $41.91
Sent: add_to_cart - User: user_4173 - $220.8
Sent: checkout - User: user_6857 - $149.43
Sent: checkout - User: user_5299 - $311.75
Sent: add_to_cart - User: user_7429 - $190.54
Sent: add_to_cart - User: user_3198 - $379.58
Sent: checkout - User: user_6288 - $467.43
Sent: add_to_cart - User: user_5477 - $308.55
Sent: add_to_cart - User: user_4346 - $331.01
Sent: add_to_cart - User: user_5367 - $395.46
Sent: checkout - User: user_3584 - $343.86
Sent: add_to_cart - User: user_7779 - $87.13
Sent: add_to_cart - User: user_5345 - $68.0
Sent: add_to_cart - User: user_4705 - $304.07
Sent: add_to_cart - User: user_9339 - $244.03
Sent: add_to_cart - User: user_8748 - $29.13
Sent: add_to_cart - User: user_3658 - $483.39
Sent: add_to_cart - User: user_7882 - $132.15
Sent: add_to_cart - User: user_8372 - $468.22
Sent: add_to_cart - User: user_1899 - $367.41
Sent: add_to_cart - User: user_7362 - $88.48
Sent: checkout - User: user_1527 - $44.25
Sent: add_to_cart - User: user_1458 - $201.31
Sent: add_to_cart - User: user_8481 - $87.4
Sent: add_to_cart - User: user_4262 - $347.88
Sent: checkout - User: user_8272 - $100.28
Sent: checkout - User: user_7023 - $275.94
Sent: add_to_cart - User: user_7007 - $141.91
Sent: checkout - User: user_5966 - $248.04
Sent: add_to_cart - User: user_7021 - $80.81
Sent: add_to_cart - User: user_1678 - $343.91
Sent: add_to_cart - User: user_7167 - $253.31
Sent: checkout - User: user_5686 - $466.63
Sent: checkout - User: user_8736 - $17.12
Sent: add_to_cart - User: user_7134 - $99.58
Sent: add_to_cart - User: user_7117 - $214.62
Sent: checkout - User: user_8822 - $312.25
Sent: checkout - User: user_9204 - $336.9
Sent: add_to_cart - User: user_2140 - $87.15
Sent: checkout - User: user_4393 - $126.32
Sent: checkout - User: user_8115 - $476.0
Sent: add_to_cart - User: user_9399 - $290.42
Sent: checkout - User: user_4097 - $435.52
Sent: add_to_cart - User: user_3670 - $195.55
Sent: checkout - User: user_5141 - $62.92
Sent: checkout - User: user_4182 - $174.73
Sent: add_to_cart - User: user_3650 - $177.17
Sent: add_to_cart - User: user_1476 - $203.42
Sent: checkout - User: user_7349 - $51.58
Sent: add_to_cart - User: user_9502 - $72.16
Sent: checkout - User: user_2885 - $313.02
Sent: checkout - User: user_2542 - $196.92
Sent: add_to_cart - User: user_4667 - $422.71
Sent: checkout - User: user_8431 - $150.7
Sent: add_to_cart - User: user_8338 - $499.56
Sent: checkout - User: user_1203 - $443.44
Sent: add_to_cart - User: user_9112 - $72.59
Sent: checkout - User: user_6157 - $94.4
Sent: add_to_cart - User: user_5129 - $14.62
Sent: add_to_cart - User: user_9814 - $198.63
Sent: checkout - User: user_6289 - $395.88
Sent: checkout - User: user_8339 - $118.68
Sent: checkout - User: user_5210 - $280.2
Sent: add_to_cart - User: user_8569 - $368.24
Sent: add_to_cart - User: user_2843 - $154.75
Sent: add_to_cart - User: user_5213 - $31.4
Sent: add_to_cart - User: user_9473 - $452.86
Sent: add_to_cart - User: user_2266 - $377.82
Sent: checkout - User: user_9857 - $162.88
Sent: add_to_cart - User: user_5526 - $352.16
Sent: add_to_cart - User: user_5068 - $244.69
Sent: checkout - User: user_7173 - $310.58
Sent: add_to_cart - User: user_3662 - $474.87
Sent: checkout - User: user_1516 - $398.85
Sent: checkout - User: user_9772 - $167.56
Sent: add_to_cart - User: user_7453 - $177.96
Sent: add_to_cart - User: user_1645 - $220.63
Sent: add_to_cart - User: user_4694 - $242.72
Sent: add_to_cart - User: user_6351 - $252.39
Sent: checkout - User: user_3066 - $129.57
Sent: checkout - User: user_8939 - $287.8
Sent: checkout - User: user_8498 - $297.23
Sent: add_to_cart - User: user_8003 - $488.05
Sent: checkout - User: user_2086 - $156.3
Sent: checkout - User: user_3761 - $388.84
Sent: add_to_cart - User: user_2716 - $127.0
Sent: add_to_cart - User: user_6951 - $341.09
Sent: add_to_cart - User: user_4468 - $238.65
Sent: add_to_cart - User: user_9885 - $468.13
Sent: add_to_cart - User: user_6867 - $228.93
Sent: add_to_cart - User: user_3156 - $222.26
Sent: checkout - User: user_5185 - $10.47
Sent: add_to_cart - User: user_5438 - $426.54
Sent: checkout - User: user_9578 - $429.29
Sent: add_to_cart - User: user_4280 - $498.72
Sent: add_to_cart - User: user_6706 - $359.13
Sent: checkout - User: user_8645 - $208.22
Sent: add_to_cart - User: user_9949 - $59.86
Sent: add_to_cart - User: user_4012 - $444.05
Sent: add_to_cart - User: user_1283 - $360.31
Sent: add_to_cart - User: user_2583 - $424.84
Sent: add_to_cart - User: user_3526 - $224.65
Sent: add_to_cart - User: user_5300 - $188.85
Sent: add_to_cart - User: user_4914 - $87.84
Sent: add_to_cart - User: user_7915 - $172.9
Sent: add_to_cart - User: user_3641 - $215.1
Sent: checkout - User: user_2532 - $247.92
Sent: add_to_cart - User: user_4768 - $468.62
Sent: add_to_cart - User: user_3646 - $459.41
Sent: add_to_cart - User: user_4266 - $340.98
Sent: add_to_cart - User: user_4800 - $242.79
Sent: checkout - User: user_1593 - $381.2
Sent: add_to_cart - User: user_8524 - $140.11
Sent: add_to_cart - User: user_9192 - $22.45
Sent: add_to_cart - User: user_1471 - $193.3
Sent: add_to_cart - User: user_5393 - $455.9
Sent: checkout - User: user_6059 - $10.56
Sent: add_to_cart - User: user_1214 - $282.43
Sent: checkout - User: user_3280 - $260.79
Sent: add_to_cart - User: user_9672 - $497.94
Sent: add_to_cart - User: user_4428 - $131.36
Sent: add_to_cart - User: user_4763 - $272.86
Sent: checkout - User: user_7138 - $375.38
Sent: checkout - User: user_1219 - $227.99
Sent: checkout - User: user_2588 - $176.11
Sent: add_to_cart - User: user_5486 - $330.66
Sent: add_to_cart - User: user_3511 - $410.17
Sent: add_to_cart - User: user_3254 - $19.76
Sent: add_to_cart - User: user_5913 - $497.13
Sent: add_to_cart - User: user_4243 - $97.92
Sent: checkout - User: user_8220 - $401.45
Sent: add_to_cart - User: user_1004 - $228.32
Sent: add_to_cart - User: user_1674 - $260.8
Sent: add_to_cart - User: user_7890 - $50.26
Sent: add_to_cart - User: user_1129 - $490.95
Sent: add_to_cart - User: user_8735 - $54.74
Sent: add_to_cart - User: user_9235 - $159.69
Sent: add_to_cart - User: user_2643 - $44.9
Sent: add_to_cart - User: user_9692 - $165.48
Sent: checkout - User: user_9446 - $331.59
Sent: add_to_cart - User: user_7838 - $422.08
Sent: add_to_cart - User: user_9918 - $403.11
Sent: checkout - User: user_2632 - $240.77
Sent: add_to_cart - User: user_7745 - $175.98
Sent: checkout - User: user_7538 - $93.86
Sent: add_to_cart - User: user_5287 - $416.86
Sent: add_to_cart - User: user_5805 - $419.47
Sent: add_to_cart - User: user_9428 - $208.97
Sent: add_to_cart - User: user_1276 - $192.38
Sent: add_to_cart - User: user_2517 - $272.55
Sent: add_to_cart - User: user_3545 - $299.29
Sent: add_to_cart - User: user_6280 - $182.04
Sent: add_to_cart - User: user_2226 - $192.41
Sent: checkout - User: user_6769 - $304.12
Sent: add_to_cart - User: user_5163 - $381.22
Sent: checkout - User: user_3104 - $300.37
Sent: add_to_cart - User: user_4770 - $199.15
Sent: checkout - User: user_4218 - $329.43
Sent: checkout - User: user_3886 - $201.99
Sent: add_to_cart - User: user_2381 - $368.35
Sent: add_to_cart - User: user_7522 - $285.32
Sent: add_to_cart - User: user_8791 - $435.52
Sent: add_to_cart - User: user_4181 - $116.15
Sent: checkout - User: user_8837 - $197.55
Sent: checkout - User: user_1023 - $287.65
Sent: add_to_cart - User: user_8092 - $123.21
Sent: checkout - User: user_2120 - $318.61
Sent: checkout - User: user_6080 - $399.1
Sent: checkout - User: user_8802 - $10.55
Sent: checkout - User: user_5404 - $398.15
Sent: add_to_cart - User: user_1918 - $26.5
Sent: checkout - User: user_5020 - $251.14
Sent: add_to_cart - User: user_3722 - $14.76
Sent: add_to_cart - User: user_6612 - $390.38
Sent: checkout - User: user_7093 - $114.98
Sent: add_to_cart - User: user_3001 - $77.11
Sent: checkout - User: user_9930 - $247.78
Sent: checkout - User: user_6867 - $308.62
Sent: add_to_cart - User: user_4370 - $451.13
Sent: add_to_cart - User: user_7765 - $210.8
Sent: add_to_cart - User: user_8852 - $371.24
Sent: checkout - User: user_6072 - $108.45
Sent: add_to_cart - User: user_2536 - $435.88
Sent: add_to_cart - User: user_3458 - $470.93
Sent: add_to_cart - User: user_9487 - $452.33
Sent: add_to_cart - User: user_7502 - $41.28
Sent: add_to_cart - User: user_5762 - $67.72
Sent: checkout - User: user_4813 - $249.73
Sent: add_to_cart - User: user_9366 - $166.3
Sent: add_to_cart - User: user_7888 - $219.6
Sent: add_to_cart - User: user_8336 - $411.85
Sent: checkout - User: user_9184 - $226.45
Sent: add_to_cart - User: user_4533 - $266.67
Sent: checkout - User: user_1707 - $371.15
Sent: add_to_cart - User: user_4258 - $99.49
Sent: checkout - User: user_3385 - $144.75
Sent: add_to_cart - User: user_5754 - $393.32
Sent: add_to_cart - User: user_6529 - $446.49
Sent: add_to_cart - User: user_4547 - $31.71
Sent: add_to_cart - User: user_1519 - $246.12
Sent: checkout - User: user_4873 - $181.13
Sent: add_to_cart - User: user_6095 - $391.42
Sent: add_to_cart - User: user_6293 - $389.44
Sent: add_to_cart - User: user_8194 - $135.08
Sent: add_to_cart - User: user_7486 - $368.41
Sent: checkout - User: user_1011 - $27.89
Sent: add_to_cart - User: user_5551 - $134.47
Sent: checkout - User: user_4513 - $494.36
Sent: add_to_cart - User: user_1009 - $188.76
Sent: add_to_cart - User: user_5693 - $423.6
Sent: add_to_cart - User: user_3435 - $153.98
Sent: add_to_cart - User: user_4314 - $381.51
Sent: add_to_cart - User: user_7457 - $443.79
Sent: add_to_cart - User: user_6379 - $325.03
Sent: checkout - User: user_8259 - $453.99
Sent: add_to_cart - User: user_6437 - $473.43
Sent: add_to_cart - User: user_9274 - $64.46
Sent: add_to_cart - User: user_9295 - $499.17
Sent: add_to_cart - User: user_3834 - $247.58
Sent: add_to_cart - User: user_5715 - $50.6
Sent: checkout - User: user_6618 - $479.91
Sent: checkout - User: user_7838 - $127.86
Sent: checkout - User: user_5529 - $201.07
Sent: checkout - User: user_1358 - $127.33
Sent: add_to_cart - User: user_7118 - $208.46
Sent: add_to_cart - User: user_7457 - $454.5
Sent: checkout - User: user_4921 - $33.7
Sent: add_to_cart - User: user_4061 - $266.1
Sent: add_to_cart - User: user_3430 - $22.18
Sent: add_to_cart - User: user_5619 - $262.86
Sent: add_to_cart - User: user_1705 - $55.39
Sent: add_to_cart - User: user_8697 - $436.56
Sent: checkout - User: user_6458 - $168.85
Sent: checkout - User: user_8126 - $429.66
Sent: add_to_cart - User: user_9557 - $172.85
Sent: add_to_cart - User: user_9031 - $46.27
Sent: checkout - User: user_6914 - $104.93
Sent: add_to_cart - User: user_3046 - $67.72
Sent: add_to_cart - User: user_6045 - $290.08
Sent: add_to_cart - User: user_7116 - $449.78
Sent: add_to_cart - User: user_6177 - $152.82
Sent: checkout - User: user_8837 - $122.43
Sent: add_to_cart - User: user_4905 - $394.53
Sent: add_to_cart - User: user_3556 - $294.9
Sent: checkout - User: user_7864 - $361.53
Sent: add_to_cart - User: user_8818 - $45.64
Sent: add_to_cart - User: user_5147 - $286.13
Sent: checkout - User: user_3799 - $116.89
Sent: checkout - User: user_4840 - $213.24
Sent: add_to_cart - User: user_8673 - $96.54
Sent: add_to_cart - User: user_3309 - $451.37
Sent: add_to_cart - User: user_7806 - $67.99
Sent: checkout - User: user_7571 - $18.45
Sent: add_to_cart - User: user_2804 - $399.8
Sent: add_to_cart - User: user_6694 - $440.96
Sent: add_to_cart - User: user_5970 - $56.22
Sent: checkout - User: user_1737 - $281.93
Sent: add_to_cart - User: user_4084 - $403.58
Sent: checkout - User: user_9144 - $122.88
Sent: checkout - User: user_5222 - $460.39
Sent: add_to_cart - User: user_4629 - $148.84
Sent: add_to_cart - User: user_8112 - $218.02
Sent: checkout - User: user_7383 - $394.29
Sent: add_to_cart - User: user_9347 - $46.62
Sent: add_to_cart - User: user_3178 - $200.17
Sent: add_to_cart - User: user_1637 - $109.17
Sent: add_to_cart - User: user_2360 - $96.65
Sent: add_to_cart - User: user_9249 - $42.75
Sent: checkout - User: user_4175 - $312.62
Sent: add_to_cart - User: user_2778 - $475.01
Sent: add_to_cart - User: user_5097 - $62.17
Sent: add_to_cart - User: user_7544 - $468.69
Sent: add_to_cart - User: user_6690 - $134.67
Sent: checkout - User: user_8871 - $380.07
Sent: checkout - User: user_8112 - $183.0
Sent: add_to_cart - User: user_8799 - $206.18
Sent: add_to_cart - User: user_9799 - $364.54
Sent: add_to_cart - User: user_4898 - $264.06
Sent: add_to_cart - User: user_3799 - $197.3
Sent: add_to_cart - User: user_6886 - $351.51
Sent: checkout - User: user_8474 - $328.59
Sent: checkout - User: user_3146 - $22.97
Sent: add_to_cart - User: user_4899 - $322.85
Sent: add_to_cart - User: user_9685 - $431.05
Sent: checkout - User: user_7805 - $56.22
Sent: checkout - User: user_4846 - $490.73
Sent: add_to_cart - User: user_7829 - $440.05
Sent: add_to_cart - User: user_7344 - $52.85
Sent: checkout - User: user_3688 - $363.24
Sent: checkout - User: user_4582 - $363.46
Sent: add_to_cart - User: user_2736 - $18.72
Sent: checkout - User: user_4817 - $96.4
Sent: add_to_cart - User: user_8606 - $409.17
Sent: add_to_cart - User: user_1801 - $159.75
Sent: add_to_cart - User: user_1706 - $254.45
Sent: add_to_cart - User: user_6157 - $215.45
Sent: add_to_cart - User: user_1316 - $474.25
Sent: checkout - User: user_7705 - $429.89
Sent: add_to_cart - User: user_6872 - $74.46
Sent: add_to_cart - User: user_1452 - $272.65
Sent: add_to_cart - User: user_7153 - $314.69
Sent: add_to_cart - User: user_4212 - $93.79
Sent: add_to_cart - User: user_5619 - $115.41
Sent: add_to_cart - User: user_1013 - $42.41
Sent: add_to_cart - User: user_8661 - $103.1
Sent: add_to_cart - User: user_3257 - $307.86
Sent: add_to_cart - User: user_3173 - $228.86
Sent: add_to_cart - User: user_6356 - $181.59
Sent: add_to_cart - User: user_9260 - $310.49
Sent: add_to_cart - User: user_4199 - $341.68
Sent: add_to_cart - User: user_5821 - $466.89
Sent: checkout - User: user_3477 - $480.34
Sent: checkout - User: user_7765 - $31.7
Sent: checkout - User: user_3104 - $435.85
Sent: add_to_cart - User: user_4449 - $134.85
Sent: add_to_cart - User: user_5400 - $99.26
Sent: add_to_cart - User: user_5393 - $438.71
Sent: add_to_cart - User: user_5828 - $244.2
Sent: add_to_cart - User: user_1551 - $483.37
Sent: add_to_cart - User: user_9877 - $18.06
Sent: checkout - User: user_7798 - $364.85
Sent: checkout - User: user_7013 - $453.57
Sent: checkout - User: user_4661 - $388.91
Sent: checkout - User: user_5192 - $279.01
Sent: add_to_cart - User: user_9194 - $226.63
Sent: add_to_cart - User: user_4935 - $232.39
Sent: checkout - User: user_1298 - $14.8
Sent: add_to_cart - User: user_4609 - $256.35
Sent: checkout - User: user_1427 - $162.17
Sent: checkout - User: user_8551 - $480.35
Sent: checkout - User: user_5363 - $233.09
Sent: add_to_cart - User: user_6946 - $131.01
Sent: add_to_cart - User: user_4944 - $294.96
Sent: checkout - User: user_8148 - $461.7
Sent: add_to_cart - User: user_9187 - $240.67
Sent: add_to_cart - User: user_7759 - $413.34
Sent: add_to_cart - User: user_7061 - $138.37
Sent: add_to_cart - User: user_6093 - $339.49
Sent: checkout - User: user_6533 - $103.53
Sent: add_to_cart - User: user_1627 - $59.46
Sent: checkout - User: user_5296 - $75.79
Sent: checkout - User: user_7694 - $88.68
Sent: checkout - User: user_8587 - $363.28
Sent: add_to_cart - User: user_2007 - $190.96
Sent: add_to_cart - User: user_2498 - $54.99
Sent: add_to_cart - User: user_3833 - $131.7
Sent: checkout - User: user_4555 - $196.44
Sent: checkout - User: user_4643 - $123.97
Sent: add_to_cart - User: user_3495 - $91.6
Sent: add_to_cart - User: user_3753 - $465.67
Sent: add_to_cart - User: user_3327 - $447.03
Sent: add_to_cart - User: user_3211 - $149.82
Sent: add_to_cart - User: user_9908 - $62.37
Sent: add_to_cart - User: user_7756 - $10.85
Sent: add_to_cart - User: user_2428 - $170.82
Sent: add_to_cart - User: user_9133 - $93.6
Sent: add_to_cart - User: user_5104 - $144.04
Sent: add_to_cart - User: user_4217 - $121.87
Sent: add_to_cart - User: user_6725 - $183.08
Sent: add_to_cart - User: user_9022 - $17.23
Sent: checkout - User: user_1893 - $231.36
Sent: add_to_cart - User: user_9476 - $431.34
Sent: add_to_cart - User: user_4907 - $324.55
Sent: add_to_cart - User: user_7698 - $23.27
Sent: checkout - User: user_5068 - $383.24
Sent: add_to_cart - User: user_9064 - $184.73
Sent: checkout - User: user_3118 - $186.29
Sent: add_to_cart - User: user_9754 - $11.43
Sent: add_to_cart - User: user_2385 - $165.83
Sent: add_to_cart - User: user_8857 - $353.06
Sent: checkout - User: user_2471 - $284.85
Sent: checkout - User: user_5508 - $44.58
Sent: add_to_cart - User: user_9719 - $98.86
Sent: add_to_cart - User: user_9521 - $25.97
Sent: checkout - User: user_8565 - $477.61
Sent: add_to_cart - User: user_9341 - $234.39
Sent: checkout - User: user_6654 - $29.17
Sent: checkout - User: user_4797 - $24.31
Sent: add_to_cart - User: user_4527 - $479.51
Sent: add_to_cart - User: user_4479 - $118.65
Sent: add_to_cart - User: user_7664 - $391.16
Sent: add_to_cart - User: user_3096 - $223.03
Sent: checkout - User: user_5229 - $109.63
Sent: add_to_cart - User: user_3730 - $453.84
Sent: add_to_cart - User: user_1340 - $334.7
Sent: add_to_cart - User: user_6483 - $297.88
Sent: checkout - User: user_6282 - $142.99
Sent: add_to_cart - User: user_4638 - $410.25
Sent: add_to_cart - User: user_9617 - $380.09
Sent: add_to_cart - User: user_4720 - $438.39
Sent: add_to_cart - User: user_8523 - $49.23
Sent: add_to_cart - User: user_2853 - $62.45
Sent: checkout - User: user_8277 - $454.27
Sent: add_to_cart - User: user_8147 - $371.95
Sent: add_to_cart - User: user_9456 - $430.08
Sent: add_to_cart - User: user_9718 - $33.24
Sent: checkout - User: user_3213 - $21.39
Sent: add_to_cart - User: user_8091 - $493.73
Sent: add_to_cart - User: user_5913 - $448.12
Sent: checkout - User: user_5595 - $489.45
Sent: add_to_cart - User: user_6284 - $265.91
Sent: add_to_cart - User: user_8539 - $235.87
Sent: add_to_cart - User: user_3026 - $186.81
Sent: add_to_cart - User: user_5549 - $417.23
Sent: checkout - User: user_5348 - $28.18
Sent: checkout - User: user_3191 - $134.51
Sent: checkout - User: user_8995 - $12.8
Sent: add_to_cart - User: user_9013 - $457.87
Sent: add_to_cart - User: user_2291 - $301.54
Sent: add_to_cart - User: user_3439 - $94.65
Sent: add_to_cart - User: user_4569 - $56.03
Sent: add_to_cart - User: user_6981 - $290.66
Sent: checkout - User: user_8584 - $73.69
Sent: add_to_cart - User: user_4926 - $329.39
Sent: add_to_cart - User: user_4633 - $14.95
Sent: add_to_cart - User: user_7995 - $114.5
Sent: add_to_cart - User: user_2160 - $430.0
Sent: add_to_cart - User: user_4478 - $151.84
Sent: add_to_cart - User: user_2169 - $51.52
Sent: add_to_cart - User: user_6348 - $456.97
Sent: add_to_cart - User: user_4556 - $372.12
Sent: add_to_cart - User: user_1224 - $340.23
Sent: add_to_cart - User: user_2153 - $196.53
Sent: checkout - User: user_5108 - $131.91
Sent: add_to_cart - User: user_9034 - $107.61
Sent: checkout - User: user_9211 - $293.07
